Gender,Age,Debt,Married,BankCustomer,EducationLevel,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved,Approved_Status
Female,30.83,0.0,Unknown,Yes,Graduate,Asian,1.25,Yes,Yes,14.93,No,Indian,202.0,0,Approved,Approved
Male,58.67,4.46,Unknown,Yes,HighSchool,Asian,3.04,Yes,Yes,89.55,No,Indian,43.0,560,Approved,Approved
Male,24.5,0.5,Unknown,Yes,HighSchool,Asian,1.5,Yes,No,0.0,No,Indian,280.0,824,Approved,Approved
Female,27.83,1.54,Unknown,Yes,Graduate,Asian,3.75,Yes,Yes,74.63,Yes,Indian,100.0,3,Approved,Approved
Female,20.17,5.625,Unknown,Yes,Graduate,Asian,1.71,Yes,No,0.0,No,Other,120.0,0,Approved,Approved
Female,32.08,4.0,Unknown,Yes,Undergraduate,Asian,2.5,Yes,No,0.0,Yes,Indian,360.0,0,Approved,Approved
Female,33.17,1.04,Unknown,Yes,Undergraduate,Asian,6.5,Yes,No,0.0,Yes,Indian,164.0,31285,Approved,Approved
Male,22.92,11.585,Unknown,Yes,Undergraduate,Asian,0.04,Yes,No,0.0,No,Indian,80.0,1349,Approved,Approved
Female,54.42,0.5,Yes,Partial,HighSchool,Asian,3.96,Yes,No,0.0,No,Indian,180.0,314,Approved,Approved
Female,42.5,4.915,Yes,Partial,Graduate,Asian,3.165,Yes,No,0.0,Yes,Indian,52.0,1442,Approved,Approved
Female,22.08,0.83,Unknown,Yes,HighSchool,Asian,2.165,No,No,0.0,Yes,Indian,128.0,0,Approved,Approved
Female,29.92,1.835,Unknown,Yes,HighSchool,Asian,4.335,Yes,No,0.0,No,Indian,260.0,200,Approved,Approved
Male,38.25,6.0,Unknown,Yes,HighSchool,Asian,1.0,Yes,No,0.0,Yes,Indian,0.0,0,Approved,Approved
Female,48.08,6.04,Unknown,Yes,HighSchool,Asian,0.04,No,No,0.0,No,Indian,0.0,2690,Approved,Approved
Male,45.83,10.5,Unknown,Yes,HighSchool,Asian,5.0,Yes,Yes,104.48,Yes,Indian,0.0,0,Approved,Approved
Female,36.67,4.415,Yes,Partial,HighSchool,Asian,0.25,Yes,Yes,149.25,Yes,Indian,320.0,0,Approved,Approved
Female,28.25,0.875,Unknown,Yes,Undergraduate,Asian,0.96,Yes,Yes,44.78,Yes,Indian,396.0,0,Approved,Approved
Male,23.25,5.875,Unknown,Yes,HighSchool,Asian,3.17,Yes,Yes,149.25,No,Indian,120.0,245,Approved,Approved
Female,21.83,0.25,Unknown,Yes,Undergraduate,Asian,0.665,Yes,No,0.0,Yes,Indian,0.0,0,Approved,Approved
Male,19.17,8.585,Unknown,Yes,Undergraduate,Asian,0.75,Yes,Yes,104.48,No,Indian,96.0,0,Approved,Approved
Female,25.0,11.25,Unknown,Yes,HighSchool,Asian,2.5,Yes,Yes,253.73,No,Indian,200.0,1208,Approved,Approved
Female,23.25,1.0,Unknown,Yes,HighSchool,Asian,0.835,Yes,No,0.0,No,Other,300.0,0,Approved,Approved
Male,47.75,8.0,Unknown,Yes,HighSchool,Asian,7.875,Yes,Yes,89.55,Yes,Indian,0.0,1260,Approved,Approved
Male,27.42,14.5,Unknown,Yes,Graduate,Asian,3.085,Yes,Yes,14.93,No,Indian,120.0,11,Approved,Approved
Male,41.17,6.5,Unknown,Yes,HighSchool,Asian,0.5,Yes,Yes,44.78,Yes,Indian,145.0,0,Approved,Approved
Male,15.83,0.585,Unknown,Yes,HighSchool,Asian,1.5,Yes,Yes,29.85,No,Indian,100.0,0,Approved,Approved
Male,47.0,13.0,Unknown,Yes,HighSchool,White,5.165,Yes,Yes,134.33,Yes,Indian,0.0,0,Approved,Approved
Female,56.58,18.5,Unknown,Yes,Undergraduate,White,15.0,Yes,Yes,253.73,Yes,Indian,0.0,0,Approved,Approved
Female,57.42,8.5,Unknown,Yes,Graduate,Asian,7.0,Yes,Yes,44.78,No,Indian,0.0,0,Approved,Approved
Female,42.08,1.04,Unknown,Yes,Graduate,Asian,5.0,Yes,Yes,89.55,Yes,Indian,500.0,10000,Approved,Approved
Female,29.25,14.79,Unknown,Yes,Graduate,Asian,5.04,Yes,Yes,74.63,Yes,Indian,168.0,0,Approved,Approved
Female,42.0,9.79,Unknown,Yes,Graduate,Asian,7.96,Yes,Yes,119.4,No,Indian,0.0,0,Approved,Approved
Female,49.5,7.585,Unknown,Yes,HighSchool,White,7.585,Yes,Yes,223.88,Yes,Indian,0.0,5000,Approved,Approved
Male,36.75,5.125,Unknown,Yes,Graduate,Asian,5.0,Yes,No,0.0,Yes,Indian,0.0,4000,Approved,Approved
Male,22.58,10.75,Unknown,Yes,HighSchool,Asian,0.415,Yes,Yes,74.63,Yes,Indian,0.0,560,Approved,Approved
Female,27.83,1.5,Unknown,Yes,Graduate,Asian,2.0,Yes,Yes,164.18,Yes,Indian,434.0,35,Approved,Approved
Female,27.25,1.585,Unknown,Yes,Undergraduate,Asian,1.835,Yes,Yes,179.1,Yes,Indian,583.0,713,Approved,Approved
Male,23.0,11.75,Unknown,Yes,Graduate,Asian,0.5,Yes,Yes,29.85,Yes,Indian,300.0,551,Approved,Approved
Female,27.75,0.585,Yes,Partial,Undergraduate,Asian,0.25,Yes,Yes,29.85,No,Indian,260.0,500,Approved,Approved
Female,54.58,9.415,Unknown,Yes,HighSchool,Black,14.415,Yes,Yes,164.18,Yes,Indian,30.0,300,Approved,Approved
Female,34.17,9.17,Unknown,Yes,HighSchool,Asian,4.5,Yes,Yes,179.1,Yes,Indian,0.0,221,Approved,Approved
Female,28.92,15.0,Unknown,Yes,HighSchool,Asian,5.335,Yes,Yes,164.18,No,Indian,0.0,2283,Approved,Approved
Female,29.67,1.415,Unknown,Yes,Graduate,Asian,0.75,Yes,Yes,14.93,No,Indian,240.0,100,Approved,Approved
Female,39.58,13.915,Unknown,Yes,Graduate,Asian,8.625,Yes,Yes,89.55,Yes,Indian,70.0,0,Approved,Approved
Female,56.42,28.0,Yes,Partial,HighSchool,Asian,28.5,Yes,Yes,597.01,No,Indian,0.0,15,Approved,Approved
Female,54.33,6.75,Unknown,Yes,HighSchool,Asian,2.625,Yes,Yes,164.18,Yes,Indian,0.0,284,Approved,Approved
Male,41.0,2.04,Yes,Partial,HighSchool,Asian,0.125,Yes,Yes,343.28,Yes,Indian,455.0,1236,Approved,Approved
Female,31.92,4.46,Unknown,Yes,Undergraduate,Asian,6.04,Yes,Yes,44.78,No,Indian,311.0,300,Approved,Approved
Female,41.5,1.54,Unknown,Yes,HighSchool,White,3.5,No,No,0.0,No,Indian,216.0,0,Approved,Approved
Female,23.92,0.665,Unknown,Yes,HighSchool,Asian,0.165,No,No,0.0,No,Indian,100.0,0,Approved,Approved
Male,25.75,0.5,Unknown,Yes,HighSchool,Asian,0.875,Yes,No,0.0,Yes,Indian,491.0,0,Approved,Approved
Female,26.0,1.0,Unknown,Yes,HighSchool,Asian,1.75,Yes,No,0.0,Yes,Indian,280.0,0,Approved,Approved
Female,37.42,2.04,Unknown,Yes,Graduate,Asian,0.04,Yes,No,0.0,Yes,Indian,400.0,5800,Approved,Approved
Female,34.92,2.5,Unknown,Yes,Graduate,Asian,0.0,Yes,No,0.0,Yes,Indian,239.0,200,Approved,Approved
Female,34.25,3.0,Unknown,Yes,Undergraduate,Asian,7.415,Yes,No,0.0,Yes,Indian,0.0,0,Approved,Approved
Female,23.33,11.625,Yes,Partial,Graduate,Asian,0.835,Yes,No,0.0,Yes,Indian,160.0,300,Approved,Approved
Female,23.17,0.0,Unknown,Yes,Undergraduate,Asian,0.085,Yes,No,0.0,No,Indian,0.0,0,Approved,Approved
Female,44.33,0.5,Unknown,Yes,HighSchool,Asian,5.0,Yes,No,0.0,Yes,Indian,320.0,0,Approved,Approved
Female,35.17,4.5,Unknown,Yes,Graduate,Asian,5.75,No,No,0.0,Yes,Other,711.0,0,Approved,Approved
Female,43.25,3.0,Unknown,Yes,HighSchool,Asian,6.0,Yes,Yes,164.18,No,Indian,80.0,0,Approved,Approved
Female,56.75,12.25,Unknown,Yes,Undergraduate,Asian,1.25,Yes,Yes,59.7,Yes,Indian,200.0,0,Approved,Approved
Female,31.67,16.165,Unknown,Yes,Undergraduate,Asian,3.0,Yes,Yes,134.33,No,Indian,250.0,730,Approved,Approved
Male,23.42,0.79,Yes,Partial,HighSchool,Asian,1.5,Yes,Yes,29.85,Yes,Indian,80.0,400,Approved,Approved
Male,20.42,0.835,Unknown,Yes,HighSchool,Asian,1.585,Yes,Yes,14.93,No,Indian,0.0,0,Approved,Approved
Female,26.67,4.25,Unknown,Yes,Undergraduate,Asian,4.29,Yes,Yes,14.93,Yes,Indian,120.0,0,Approved,Approved
Female,34.17,1.54,Unknown,Yes,Undergraduate,Asian,1.54,Yes,Yes,14.93,Yes,Indian,520.0,50000,Approved,Approved
Male,36.0,1.0,Unknown,Yes,HighSchool,Asian,2.0,Yes,Yes,164.18,No,Indian,0.0,456,Approved,Approved
Female,25.5,0.375,Unknown,Yes,Undergraduate,Asian,0.25,Yes,Yes,44.78,No,Indian,260.0,15108,Approved,Approved
Female,19.42,6.5,Unknown,Yes,Graduate,Asian,1.46,Yes,Yes,104.48,No,Indian,80.0,2954,Approved,Approved
Female,35.17,25.125,Unknown,Yes,Graduate,Asian,1.625,Yes,Yes,14.93,Yes,Indian,515.0,500,Approved,Approved
Female,32.33,7.5,Unknown,Yes,Graduate,White,1.585,Yes,No,0.0,Yes,Other,420.0,0,Rejected,Not Approved
Female,34.83,4.0,Unknown,Yes,Undergraduate,White,12.5,Yes,No,0.0,Yes,Indian,,0,Rejected,Not Approved
Male,38.58,5.0,Unknown,Yes,Undergraduate,Asian,13.5,Yes,No,0.0,Yes,Indian,980.0,0,Rejected,Not Approved
Female,44.25,0.5,Unknown,Yes,Undergraduate,Asian,10.75,Yes,No,0.0,No,Other,400.0,0,Rejected,Not Approved
Female,44.83,7.0,Yes,Partial,HighSchool,Asian,1.625,No,No,0.0,No,Indian,160.0,2,Rejected,Not Approved
Female,20.67,5.29,Unknown,Yes,HighSchool,Asian,0.375,Yes,Yes,14.93,No,Indian,160.0,0,Rejected,Not Approved
Female,34.08,6.5,Unknown,Yes,Graduate,Asian,0.125,Yes,No,0.0,Yes,Indian,443.0,0,Rejected,Not Approved
Male,19.17,0.585,Yes,Partial,Graduate,Asian,0.585,Yes,No,0.0,Yes,Indian,160.0,0,Rejected,Not Approved
Female,21.67,1.165,Yes,Partial,HighSchool,Asian,2.5,Yes,Yes,14.93,No,Indian,180.0,20,Rejected,Not Approved
Female,21.5,9.75,Unknown,Yes,HighSchool,Asian,0.25,Yes,No,0.0,No,Indian,140.0,0,Rejected,Not Approved
Female,49.58,19.0,Unknown,Yes,HighSchool,Black,0.0,Yes,Yes,14.93,No,Indian,94.0,0,Rejected,Not Approved
Male,27.67,1.5,Unknown,Yes,Undergraduate,Asian,2.0,Yes,No,0.0,No,Other,368.0,0,Rejected,Not Approved
Female,39.83,0.5,Unknown,Yes,Undergraduate,Asian,0.25,Yes,No,0.0,No,Other,288.0,0,Rejected,Not Approved
Male,,3.5,Unknown,Yes,Undergraduate,Asian,3.0,Yes,No,0.0,Yes,Indian,300.0,0,Rejected,Not Approved
Female,27.25,0.625,Unknown,Yes,Graduate,Asian,0.455,Yes,No,0.0,Yes,Indian,200.0,0,Rejected,Not Approved
Female,37.17,4.0,Unknown,Yes,HighSchool,White,5.0,Yes,No,0.0,Yes,Other,280.0,0,Rejected,Not Approved
